customer_key,customer_name,segment,loyalty_tier,signup_date,geography_key
1,Elizabeth Martinez,Consumer,None,2024-01-02,28
2,Anthony Garcia,Enterprise,None,2025-06-20,6
3,Carlos Moore,Consumer,None,2025-06-03,33
4,Priya Johnson,Consumer,None,2025-01-17,25
5,John Lopez,Consumer,Gold,2025-11-03,16
6,Nancy Jones,Consumer,Gold,2024-12-26,3
7,Barbara Clark,Consumer,Gold,2025-05-05,30
8,John Thompson,Consumer,None,2024-02-07,30
9,Richard Lewis,Enterprise,Silver,2024-11-19,3
10,Aisha Thomas,Small Business,None,2024-02-07,17
11,Daniel Ramirez,Consumer,None,2025-11-02,4
12,Lisa Wilson,Small Business,None,2025-03-26,26
13,Barbara Thomas,Enterprise,Silver,2025-01-11,32
14,Jennifer White,Consumer,Platinum,2024-03-21,28
15,Barbara Moore,Consumer,None,2024-11-24,19
16,Charles Martinez,Small Business,None,2025-09-09,29
17,Mark Lopez,Small Business,Gold,2024-02-13,29
18,Sofia Wilson,Enterprise,Platinum,2025-10-16,18
19,John Perez,Consumer,Silver,2025-01-07,26
20,William Smith,Small Business,None,2025-09-14,10
21,David Williams,Consumer,None,2025-10-22,16
22,Yuki Johnson,Consumer,None,2025-11-26,10
23,Mark Harris,Consumer,None,2025-08-10,5
24,Christopher Lee,Enterprise,None,2024-09-12,18
25,Barbara Thomas,Enterprise,None,2025-01-31,34
26,Thomas Thompson,Enterprise,None,2024-08-07,29
27,Wei Miller,Small Business,Silver,2024-05-18,8
28,Mark Williams,Consumer,None,2025-11-14,21
29,Aisha Martinez,Small Business,Gold,2024-06-10,20
30,Barbara Sanchez,Consumer,Platinum,2025-06-04,24
31,David Davis,Consumer,Silver,2024-01-27,32
32,Sandra Sanchez,Small Business,None,2025-09-18,9
33,Betty Thompson,Consumer,None,2025-06-22,31
34,Yuki Williams,Consumer,None,2024-11-20,9
35,Carlos Lopez,Consumer,None,2025-07-18,9
36,David Wilson,Small Business,Silver,2024-02-26,33
37,Karen Garcia,Enterprise,None,2024-11-26,11
38,Carlos Lewis,Consumer,Silver,2024-03-21,19
39,Diego Rodriguez,Consumer,Silver,2025-10-02,9
40,Fatima Lee,Enterprise,None,2025-08-29,11
41,Sofia White,Consumer,Gold,2025-07-31,22
42,Jennifer Johnson,Consumer,Silver,2025-10-28,17
43,Sofia Lee,Small Business,Silver,2025-05-24,2
44,Karen Thomas,Consumer,None,2025-02-19,16
45,Patricia Garcia,Consumer,None,2025-03-01,29
46,Liam Jones,Small Business,Gold,2024-11-22,21
47,Betty Jones,Consumer,None,2025-06-11,24
48,Sandra Brown,Consumer,None,2025-04-05,18
49,Charles Gonzalez,Enterprise,Gold,2024-09-11,27
50,Christopher Robinson,Small Business,Silver,2024-07-13,21
51,Fatima Anderson,Consumer,None,2024-11-11,32
52,Betty Taylor,Consumer,None,2024-09-03,30
53,Patricia Martinez,Small Business,Silver,2025-09-03,32
54,Priya Martinez,Consumer,Gold,2024-04-20,1
55,Lisa Harris,Consumer,None,2025-01-09,26
56,Diego Miller,Consumer,None,2025-07-20,24
57,Mark Harris,Small Business,None,2025-09-30,18
58,Michael Gonzalez,Consumer,None,2024-12-13,24
59,Elizabeth Miller,Consumer,None,2025-02-15,33
60,David Thompson,Consumer,None,2025-04-30,22
61,Fatima Jones,Consumer,None,2025-09-19,21
62,Sofia White,Consumer,Gold,2025-08-30,20
63,Aisha Thomas,Small Business,None,2025-05-01,20
64,Linda Wilson,Consumer,Silver,2025-10-06,20
65,Amara Jackson,Consumer,None,2024-02-22,15
66,Sofia Harris,Small Business,None,2024-05-31,25
67,Yuki Thompson,Consumer,None,2024-07-14,8
68,Elizabeth Wilson,Consumer,Silver,2025-02-24,14
69,Priya Ramirez,Consumer,Silver,2024-05-21,4
70,Priya Taylor,Enterprise,Silver,2024-11-17,25
71,Aisha Hernandez,Small Business,Silver,2025-11-23,23
72,Thomas Martin,Enterprise,None,2024-07-15,31
73,Karen Davis,Small Business,Silver,2024-10-22,20
74,Wei Hernandez,Consumer,Platinum,2024-12-23,31
75,Sarah Martinez,Small Business,None,2025-08-10,8
76,Betty Clark,Consumer,None,2024-05-29,23
77,Jennifer Lopez,Consumer,Silver,2025-11-02,29
78,Richard Clark,Small Business,None,2025-07-29,18
79,Sofia White,Consumer,Gold,2024-09-05,16
80,Joseph Lee,Consumer,None,2024-02-23,15
81,Priya Brown,Enterprise,Platinum,2024-01-06,9
82,William Wilson,Small Business,Gold,2025-05-03,31
83,Charles Hernandez,Consumer,Gold,2025-10-23,19
84,Yuki Davis,Consumer,Gold,2024-06-28,3
85,Robert Clark,Consumer,Silver,2025-05-22,26
86,Charles Lewis,Consumer,Silver,2024-01-10,3
87,Nancy Martinez,Consumer,Silver,2025-10-18,30
88,David Ramirez,Consumer,Gold,2025-04-24,33
89,Nancy Garcia,Consumer,None,2025-10-25,30
90,Nancy Sanchez,Small Business,None,2025-08-04,19
91,Sofia Ramirez,Consumer,None,2025-03-13,26
92,Michael Garcia,Consumer,None,2025-05-03,9
93,Thomas Gonzalez,Small Business,Platinum,2025-04-02,16
94,Karen Jackson,Small Business,Silver,2024-09-24,1
95,Patricia Perez,Consumer,None,2025-04-21,8
96,Fatima Robinson,Consumer,Platinum,2024-04-30,20
97,Lisa Martin,Enterprise,Silver,2024-08-12,15
98,Sandra White,Small Business,Gold,2025-03-01,24
99,Aisha Sanchez,Small Business,Silver,2024-09-10,14
100,Jennifer Taylor,Small Business,None,2025-06-24,29
101,Yuki Brown,Enterprise,None,2025-07-14,4
102,Aisha Jones,Small Business,None,2024-12-01,11
103,Susan Thompson,Small Business,None,2024-04-03,32
104,Patricia Anderson,Consumer,Silver,2025-06-09,9
105,Diego Anderson,Consumer,Gold,2024-01-23,20
106,Susan Jackson,Consumer,Silver,2024-02-16,5
107,Aisha Johnson,Consumer,None,2025-04-28,5
108,David Harris,Enterprise,None,2025-01-18,27
109,Matthew Gonzalez,Enterprise,Gold,2025-11-30,6
110,David Lee,Consumer,Silver,2024-05-01,23
111,Carlos Jones,Small Business,Platinum,2024-01-04,15
112,Sandra Perez,Consumer,None,2025-06-28,28
113,Sandra Lopez,Consumer,Gold,2024-10-09,10
114,Linda Johnson,Small Business,Gold,2025-09-21,27
115,Mary Davis,Consumer,None,2024-03-09,14
116,Liam Perez,Small Business,None,2024-09-07,4
117,Joseph Moore,Consumer,Platinum,2024-02-27,14
118,Joseph Clark,Consumer,Silver,2025-08-14,21
119,Christopher Davis,Enterprise,Silver,2024-05-26,20
120,Anthony Martinez,Consumer,Silver,2024-03-03,18
121,Barbara Lee,Consumer,Platinum,2025-07-23,28
122,Matthew Sanchez,Small Business,None,2024-11-22,34
123,Karen Gonzalez,Consumer,Gold,2025-07-04,12
124,Karen Ramirez,Enterprise,Silver,2025-04-19,10
125,Anthony Moore,Consumer,None,2024-05-17,34
126,Nancy Lee,Small Business,None,2025-04-05,6
127,Richard Johnson,Small Business,Silver,2025-01-21,18
128,John Miller,Consumer,Gold,2025-05-05,14
129,Karen Robinson,Enterprise,Platinum,2024-08-04,1
130,Linda White,Small Business,Silver,2024-09-05,31
131,Betty Robinson,Consumer,None,2025-07-19,16
132,Sandra Moore,Consumer,Silver,2024-11-11,23
133,Wei Anderson,Small Business,None,2025-04-25,7
134,Susan Lopez,Consumer,Gold,2025-02-27,21
135,Elizabeth Smith,Enterprise,Silver,2025-07-20,17
136,Anthony Martinez,Consumer,None,2024-07-19,10
137,Jessica Thomas,Small Business,Silver,2024-09-20,22
138,Wei Anderson,Consumer,Silver,2024-12-26,11
139,Wei Garcia,Consumer,Gold,2025-06-20,4
140,Patricia Harris,Consumer,Silver,2025-02-26,1
141,John Thompson,Consumer,Silver,2024-01-10,10
142,Patricia Martin,Consumer,None,2025-11-06,31
143,Diego Wilson,Consumer,None,2024-01-18,1
144,Charles Smith,Consumer,Platinum,2025-11-21,33
145,Barbara Brown,Consumer,None,2025-06-20,7
146,Carlos Rodriguez,Small Business,None,2024-09-30,23
147,Betty Anderson,Consumer,Gold,2024-08-19,16
148,Jennifer Lee,Consumer,None,2024-04-05,3
149,Priya Johnson,Consumer,Gold,2024-06-24,1
150,Nancy Jackson,Enterprise,None,2025-06-24,7
151,Yuki Thomas,Enterprise,Silver,2024-02-17,18
152,Sarah Lewis,Enterprise,None,2024-07-02,3
153,Susan Jackson,Enterprise,None,2025-02-11,10
154,Yuki Davis,Small Business,None,2025-11-24,25
155,David Sanchez,Small Business,None,2025-05-27,6
156,Michael Wilson,Consumer,Gold,2024-03-18,15
157,Liam Gonzalez,Consumer,Gold,2024-01-31,21
158,Mark Thomas,Consumer,None,2024-12-30,15
159,Barbara Perez,Small Business,None,2024-03-28,25
160,Jessica Thompson,Consumer,None,2024-03-25,5
161,Elizabeth White,Consumer,None,2024-11-20,25
162,Karen Anderson,Consumer,None,2024-10-03,24
163,Margaret Anderson,Consumer,None,2025-02-21,33
164,Diego Williams,Consumer,None,2025-01-29,21
165,Jennifer White,Consumer,Silver,2025-08-08,16
166,William Jones,Consumer,None,2024-11-04,18
167,William Wilson,Consumer,Gold,2025-03-07,18
168,Lisa Rodriguez,Consumer,Silver,2025-10-02,16
169,Sandra Brown,Consumer,None,2024-11-07,9
170,Sofia Gonzalez,Consumer,Gold,2025-03-26,22
171,Liam Jones,Consumer,Silver,2024-11-24,20
172,Priya Hernandez,Enterprise,None,2025-02-11,12
173,Wei Jackson,Consumer,Gold,2024-11-29,16
174,Betty Lopez,Consumer,Platinum,2025-07-31,8
175,Barbara Perez,Enterprise,None,2025-04-17,2
176,Charles Clark,Small Business,None,2025-02-22,5
177,Karen Davis,Consumer,None,2025-11-05,17
178,Matthew Williams,Consumer,None,2025-09-04,29
179,Fatima Robinson,Consumer,Platinum,2025-07-10,27
180,Aisha Martin,Small Business,Silver,2024-04-21,6
181,Daniel Garcia,Enterprise,Silver,2025-07-30,3
182,Betty Harris,Consumer,None,2025-03-16,22
183,Joseph Taylor,Consumer,Silver,2025-07-25,34
184,Mark Lopez,Small Business,Silver,2025-04-19,26
185,Fatima Jones,Consumer,None,2024-01-26,23
186,Jennifer Brown,Consumer,Silver,2024-12-22,10
187,Susan Taylor,Consumer,None,2024-12-22,31
188,Mark Hernandez,Consumer,Silver,2024-11-03,5
189,Mary Ramirez,Consumer,Gold,2025-10-25,22
190,Jessica Taylor,Consumer,Silver,2025-07-19,12
191,Sandra Davis,Consumer,Silver,2025-10-06,26
192,Margaret Gonzalez,Small Business,None,2025-09-20,2
193,Margaret Gonzalez,Consumer,Gold,2024-08-07,1
194,John Jackson,Consumer,None,2025-07-03,7
195,Sandra Brown,Small Business,Silver,2025-11-17,17
196,Christopher Martin,Consumer,None,2025-09-17,25
197,Daniel Ramirez,Consumer,Silver,2025-09-24,30
